Unnamed: 0,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Best Time (Months),Update Note,Best Time Source,Nearest Airport
0,Northern,Delhi,Delhi,India Gate,War Memorial,1921,0.5,4.6,0,Yes,None,Historical,Yes,2.6,Evening,Oct–Mar,,override:name,Indira Gandhi International Airport (DEL)
1,Northern,Delhi,Delhi,Humayun's Tomb,Tomb,1572,2.0,4.5,30,Yes,None,Historical,Yes,0.4,Afternoon,Oct–Mar,,override:name,Indira Gandhi International Airport (DEL)
2,Northern,Delhi,Delhi,Akshardham Temple,Temple,2005,5.0,4.6,60,Yes,None,Religious,No,0.4,Afternoon,Oct–Mar,,city,Indira Gandhi International Airport (DEL)
3,Northern,Delhi,Delhi,Waste to Wonder Park,Theme Park,2019,2.0,4.1,50,Yes,Monday,Environmental,Yes,0.27,Evening,Oct–Mar,,city,Indira Gandhi International Airport (DEL)
4,Northern,Delhi,Delhi,Jantar Mantar,Observatory,1724,2.0,4.2,15,Yes,None,Scientific,Yes,0.31,Morning,Oct–Mar,,override:name,Indira Gandhi International Airport (DEL)
5,Northern,Delhi,Delhi,Chandni Chowk,Market,1700,3.0,4.2,0,Yes,Sunday,Market,Yes,0.25,Afternoon,Oct–Mar,,city,Indira Gandhi International Airport (DEL)
6,Northern,Delhi,Delhi,Lotus Temple,Temple,1986,1.0,4.5,0,Yes,Monday,Religious,Yes,0.59,Evening,Oct–Mar,,city,Indira Gandhi International Airport (DEL)
7,Northern,Delhi,Delhi,Red Fort,Fort,1648,2.0,4.5,35,Yes,None,Historical,Yes,1.5,Afternoon,Oct–Mar,,override:name,Indira Gandhi International Airport (DEL)
8,Northern,Delhi,Delhi,Agrasen ki Baoli,Stepwell,1400,1.0,4.2,0,Yes,None,Historical,Yes,0.41,Afternoon,Oct–Mar,,city,Indira Gandhi International Airport (DEL)
9,Northern,Delhi,Delhi,Sunder Nursery,Park,1600,2.0,4.6,0,Yes,None,Botanical,Yes,0.16,Afternoon,Oct–Mar,,city,Indira Gandhi International Airport (DEL)
10,Northern,Delhi,Delhi,Garden of Five Senses,Park,2003,2.0,4.1,35,Yes,None,Botanical,Yes,0.23,Morning,Oct–Mar,,city,Indira Gandhi International Airport (DEL)
11,Northern,Delhi,Delhi,Lodhi Garden,Park,1500,1.0,4.5,0,Yes,None,Botanical,Yes,0.48,All,Oct–Mar,,city,Indira Gandhi International Airport (DEL)
12,Northern,Delhi,Delhi,National Gallery of Modern Art,Museum,1954,3.0,4.5,20,Yes,Monday,Artistic,Yes,0.08,All,Oct–Mar,,city,Indira Gandhi International Airport (DEL)
13,Northern,Delhi,Delhi,National Zoological Park ,Zoo,1959,3.0,4.1,80,Yes,Friday,Environmental,Yes,0.41,All,Oct–Mar,,city,Indira Gandhi International Airport (DEL)
14,Northern,Delhi,Delhi,Qutub Minar,Monument,1192,1.0,4.5,35,Yes,None,Historical,Yes,1.37,Afternoon,Oct–Mar,,override:name,Indira Gandhi International Airport (DEL)
15,Northern,Delhi,Delhi,National Science Centre,Science,1992,5.0,4.4,70,Yes,None,Scientific,Yes,0.23,All,Oct–Mar,,city,Indira Gandhi International Airport (DEL)
16,Western,Maharashtra,Mumbai,Marine Drive,Promenade,Unknown,2.0,4.5,0,Yes,None,Scenic,Yes,1.5,Evening,Nov–Feb,,city,Chhatrapati Shivaji Maharaj International Airport (BOM)
17,Western,Maharashtra,Mumbai,Gateway of India,Monument,1924,1.0,4.6,0,Yes,None,Historical,Yes,3.6,All,Nov–Feb,,city,Chhatrapati Shivaji Maharaj International Airport (BOM)
18,Western,Maharashtra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,1922,1.0,4.6,500,Yes,None,Historical,Yes,0.34,All,Nov–Feb,,city,Chhatrapati Shivaji Maharaj International Airport (BOM)
19,Western,Maharashtra,Mumbai,Sanjay Gandhi National Park,National Park,1996,3.0,4.3,50,Yes,Monday,Wildlife,Yes,0.6,All,Nov–Feb,,city,Chhatrapati Shivaji Maharaj International Airport (BOM)
20,Western,Maharashtra,Mumbai,Siddhivinayak Temple,Temple,1881,2.0,4.8,0,Yes,None,Religious,No,1.05,All,Nov–Feb,,city,Chhatrapati Shivaji Maharaj International Airport (BOM)
21,Western,Maharashtra,Mumbai,Mahalaxmi Temple,Temple,1831,1.0,4.7,0,Yes,None,Religious,No,0.33,All,Nov–Feb,,city,Chhatrapati Shivaji Maharaj International Airport (BOM)
22,Western,Maharashtra,Mumbai,Haji Ali Dargah,Religious Shrine,1431,2.0,4.4,0,Yes,None,Religious,No,0.16,All,Nov–Feb,,city,Chhatrapati Shivaji Maharaj International Airport (BOM)
23,Western,Maharashtra,Mumbai,Chowpatty Beach,Beach,Unknown,2.0,4.3,0,Yes,None,Recreational,Yes,0.05,Evening,Nov–Feb,,city,Chhatrapati Shivaji Maharaj International Airport (BOM)
24,Western,Maharashtra,Mumbai,Essel World,Amusement Park,1986,5.0,4.3,1149,Yes,None,Recreational,Yes,0.27,All,Nov–Feb,,city,Chhatrapati Shivaji Maharaj International Airport (BOM)
25,Western,Maharashtra,Mumbai,Elephanta Caves,Monument,1987,4.0,4.3,550,Yes,None,Historical,Yes,0.35,All ,Nov–Feb,,city,Chhatrapati Shivaji Maharaj International Airport (BOM)
26,Western,Maharashtra,Lonavala,Imagicaa,Amusement Park,2013,5.0,1.4,1149,No,Monday,Recreational,Yes,0.95,All,Nov–Feb,,city,Pune International Airport (PNQ)
27,Southern,Karnataka,Bangalore,Bangalore Palace,Palace,1878,2.0,4.2,500,Yes,Monday,Historical,Yes,0.9,Morning,Nov–Feb,,state,Kempegowda International Airport (BLR)
28,Southern,Karnataka,Bangalore,Lalbagh Botanical Garden,Botanical Garden,1760,1.5,4.4,20,Yes,None,Nature,Yes,1.5,Evening,Nov–Feb,,state,Kempegowda International Airport (BLR)
29,Southern,Karnataka,Bangalore,Cubbon Park,Park,1870,1.0,4.4,0,Yes,None,Nature,Yes,1.32,Morning,Nov–Feb,,state,Kempegowda International Airport (BLR)
30,Southern,Karnataka,Bangalore,Vidhana Soudha,Government Building,1956,0.5,4.6,0,Yes,None,Architectural,No,0.8,Morning,Nov–Feb,,state,Kempegowda International Airport (BLR)
31,Southern,Karnataka,Bangalore,ISKCON Temple Bangalore,Temple,1997,1.0,4.6,0,Yes,None,Religious,Yes,1.14,Evening,Nov–Feb,,state,Kempegowda International Airport (BLR)
32,Southern,Telangana,Hyderabad,Charminar,Landmark,1591,1.0,4.5,25,Yes,Friday,Historical,Yes,2.1,Morning,Nov–Feb,,city,Rajiv Gandhi International Airport (HYD)
33,Southern,Telangana,Hyderabad,Golconda Fort,Fort,1600,2.0,4.4,30,Yes,None,Historical,Yes,1.2,Morning,Nov–Feb,,city,Rajiv Gandhi International Airport (HYD)
34,Southern,Telangana,Hyderabad,Hussain Sagar Lake,Lake,1563,1.0,4.3,0,Yes,None,Scenic,Yes,0.5,Evening,Nov–Feb,,city,Rajiv Gandhi International Airport (HYD)
35,Southern,Telangana,Hyderabad,Ramoji Film City,Film Studio,1996,4.0,4.4,1150,Yes,None,Entertainment,Yes,0.45,All,Nov–Feb,,city,Rajiv Gandhi International Airport (HYD)
36,Southern,Telangana,Hyderabad,Salar Jung Museum,Museum,1951,2.0,4.4,20,Yes,None,Historical,Yes,0.67,All,Nov–Feb,,city,Rajiv Gandhi International Airport (HYD)
37,Southern,Telangana,Hyderabad,Qutb Shahi Tombs,Tombs,1600,1.0,4.4,25,Yes,None,Historical,Yes,0.2,Morning,Nov–Feb,,city,Rajiv Gandhi International Airport (HYD)
38,Southern,Telangana,Hyderabad,Birla Mandir,Temple,1976,1.0,4.7,0,Yes,None,Religious,No,0.41,All,Nov–Feb,,city,Rajiv Gandhi International Airport (HYD)
39,Southern,Telangana,Hyderabad,Chowmahalla Palace,Palace,1800,1.5,4.4,80,Yes,None,Historical,Yes,0.45,Morning,Nov–Feb,,city,Rajiv Gandhi International Airport (HYD)
40,Southern,Telangana,Hyderabad,Nehru Zoological Park,Zoo,1963,3.0,4.2,50,Yes,None,Wildlife,Yes,0.86,Morning,Nov–Feb,,city,Rajiv Gandhi International Airport (HYD)
41,Southern,Telangana,Hyderabad,Lumbini Park,Park,1994,1.0,4.1,20,Yes,None,Recreational,Yes,0.73,Evening,Nov–Feb,,city,Rajiv Gandhi International Airport (HYD)
42,Eastern,West Bengal,Kolkata,Victoria Memorial,Museum,1921,1.5,4.6,30,Yes,Monday,Historical,Yes,0.73,Morning,Oct–Mar,,state,Netaji Subhas Chandra Bose International Airport (CCU)
43,Eastern,West Bengal,Kolkata,Howrah Bridge,Bridge,1943,0.5,4.6,0,Yes,None,Architectural,No,1.2,Anytime,Oct–Mar,,state,Netaji Subhas Chandra Bose International Airport (CCU)
44,Eastern,West Bengal,Kolkata,Indian Museum,Museum,1814,2.0,4.6,50,Yes,Monday,Historical,Yes,0.18,Morning,Oct–Mar,,state,Netaji Subhas Chandra Bose International Airport (CCU)
45,Eastern,West Bengal,Kolkata,Dakshineswar Kali Temple,Temple,1855,1.0,4.7,0,Yes,None,Religious,Yes,0.82,Morning,Oct–Mar,,state,Netaji Subhas Chandra Bose International Airport (CCU)
46,Eastern,West Bengal,Kolkata,Kalighat Kali Temple,Temple,1809,1.0,4.4,0,Yes,None,Religious,Yes,0.5,Morning,Oct–Mar,,state,Netaji Subhas Chandra Bose International Airport (CCU)
47,Eastern,West Bengal,Kolkata,Eden Gardens,Cricket Ground,1864,3.0,4.1,2500,Yes,None,Sports,Yes,0.1,All,Oct–Mar,,state,Netaji Subhas Chandra Bose International Airport (CCU)
48,Eastern,West Bengal,Kolkata,Alipore Zoological Gardens,Zoo,1876,2.0,4.3,25,Yes,None,Wildlife,Yes,0.66,Afternoon,Oct–Mar,,state,Netaji Subhas Chandra Bose International Airport (CCU)
49,Eastern,West Bengal,Kolkata,Science City Kolkata,Science,1997,3.0,4.4,60,Yes,None,Educational,Yes,0.88,All,Oct–Mar,,state,Netaji Subhas Chandra Bose International Airport (CCU)
50,Eastern,West Bengal,Kolkata,Belur Math,Site,1898,1.5,4.7,0,Yes,None,Religious,Yes,0.47,Morning,Oct–Mar,,state,Netaji Subhas Chandra Bose International Airport (CCU)
51,Eastern,West Bengal,Kolkata,Marble Palace,Palace,1835,1.0,4.4,0,Yes,None,Historical,Yes,0.1,Afternoon,Oct–Mar,,state,Netaji Subhas Chandra Bose International Airport (CCU)
52,Southern,Goa,Goa,Calangute Beach,Beach,Unknown,2.0,4.4,0,Yes,None,Scenic,Yes,0.26,Evening,Nov–Feb,,city,Manohar International Airport (GOX)
53,Southern,Goa,Goa,Basilica of Bom Jesus,Church,1605,1.0,4.5,0,Yes,None,Historical,Yes,0.59,Afternoon,Nov–Feb,,city,Manohar International Airport (GOX)
54,Southern,Goa,Goa,Fort Aguada,Fort,1612,1.5,4.2,0,Yes,None,Historical,Yes,0.95,Morning,Nov–Feb,,city,Manohar International Airport (GOX)
55,Southern,Goa,Goa,Dudhsagar Falls,Waterfall,Unknown,3.0,4.6,500,Yes,None,Nature,Yes,0.3,Afternoon,Nov–Feb,,city,Manohar International Airport (GOX)
56,Southern,Goa,Goa,Anjuna Beach,Beach,Unknown,2.0,4.4,0,Yes,None,Scenic,Yes,0.18,Evening,Nov–Feb,,city,Manohar International Airport (GOX)
57,Southern,Goa,Goa,Chapora Fort,Fort,1617,1.0,4.2,0,Yes,None,Historical,Yes,0.19,Evening,Nov–Feb,,city,Manohar International Airport (GOX)
58,Southern,Goa,Goa,Se Cathedral,Church,1640,1.0,4.5,0,Yes,None,Historical,Yes,0.05,Afternoon,Nov–Feb,,city,Manohar International Airport (GOX)
59,Southern,Goa,Goa,Baga Beach,Beach,Unknown,2.0,4.5,0,Yes,None,Scenic,Yes,0.35,Evening,Nov–Feb,,city,Manohar International Airport (GOX)
60,Southern,Goa,Goa,Arambol Beach,Beach,Unknown,2.0,4.6,0,Yes,None,Scenic,Yes,0.1,Evening,Nov–Feb,,city,Manohar International Airport (GOX)
61,Southern,Goa,Goa,Palolem Beach,Beach,Unknown,2.0,4.6,0,Yes,None,Scenic,Yes,0.27,Evening,Nov–Feb,,city,Manohar International Airport (GOX)
62,Southern,Goa,Goa,Colva Beach,Beach,Unknown,2.0,4.3,0,Yes,None,Scenic,Yes,0.1,Evening,Nov–Feb,,city,Manohar International Airport (GOX)
63,Southern,Goa,Goa,Miramar Beach,Beach,Unknown,1.5,4.2,0,Yes,None,Scenic,Yes,0.3,Evening,Nov–Feb,,city,Manohar International Airport (GOX)
64,Southern,Goa,Goa,Aguada Beach,Beach,Unknown,2.0,4.5,0,Yes,None,Scenic,Yes,0.01,Evening,Nov–Feb,,city,Manohar International Airport (GOX)
65,Southern,Goa,Goa,Dr. Salim Ali Bird Santuary,Bird Sanctuary,1988,2.0,3.9,10,Yes,None,Wildlife,Yes,0.03,Afternoon,Nov–Feb,,city,Manohar International Airport (GOX)
66,Western,Gujarat,Ahmedabad,Sabarmati Ashram,Historical,1915,1.5,4.6,0,Yes,None,Historical,Yes,0.35,Morning,Oct–Mar,,city,Sardar Vallabhbhai Patel International Airport (AMD)
67,Western,Gujarat,Dwarka,Dwarkadhish Temple,Temple,-400,2.0,4.7,0,No,None,Religious,No,0.59,Evening,Oct–Mar,,state,Jamnagar Airport (JGA)
68,Western,Gujarat,Junagadh,Gir National Park,National Park,1965,3.0,4.5,3500,No,None,Wildlife,Yes,0.08,Morning,Oct–Mar,,state,Sardar Vallabhbhai Patel International Airport (AMD)
69,Western,Gujarat,Bhuj,White Desert,Site,1950,2.5,4.6,0,Yes,None,Nature,Yes,0.12,Evening,Oct–Mar,,state,Sardar Vallabhbhai Patel International Airport (AMD)
70,Western,Gujarat,Vadodara,Laxmi Vilas Palace,Palace,1890,2.0,4.4,200,Yes,Monday,Historical,Yes,0.17,Afternoon,Oct–Mar,,state,Vadodara Airport (BDQ)
71,Western,Gujarat,Somnath,Somnath Temple,Temple,1951,2.0,4.8,0,No,None,Religious,No,0.39,Morning,Oct–Mar,,state,Diu Airport (DIU)
72,Western,Gujarat,Rann of Kutch,Rann Utsav,Cultural,Unknown,3.0,4.9,7500,Yes,None,Cultural,Yes,0.1,Evening,Oct–Mar,,state,Sardar Vallabhbhai Patel International Airport (AMD)
73,Western,Gujarat,Kevadia,Statue of Unity,Monument,2018,3.0,4.6,350,No,Monday,Historical,Yes,0.67,All,Oct–Mar,,state,Sardar Vallabhbhai Patel International Airport (AMD)
74,Western,Gujarat,Gandhinagar,Dandi Kutir,Museum,2013,1.5,4.5,0,No,None,Historical,Yes,0.05,All,Oct–Mar,,state,Sardar Vallabhbhai Patel International Airport (AMD)
75,Western,Gujarat,Ahmedabad,Sabarmati Riverfront,Urban Development Project,2012,1.0,4.6,0,Yes,None,Recreational,Yes,0.1,Evening,Oct–Mar,,city,Sardar Vallabhbhai Patel International Airport (AMD)
76,Western,Gujarat,Ahmedabad,Manek Chowk,Market,Unknown,2.0,4.4,0,Yes,None,Food,Yes,0.49,Night,Oct–Mar,,city,Sardar Vallabhbhai Patel International Airport (AMD)
77,Western,Gujarat,Ahmedabad,Kankaria Lake,Lake,1451,3.0,4.5,10,Yes,None,Recreational,Yes,0.3,Afternoon,Oct–Mar,,city,Sardar Vallabhbhai Patel International Airport (AMD)
78,Western,Gujarat,Ahmedabad,Science City,Science,2002,7.0,4.4,500,Yes,Monday,Educational,Yes,0.11,All,Oct–Mar,,city,Sardar Vallabhbhai Patel International Airport (AMD)
79,Northern,Rajasthan,Jaipur,Hawa Mahal,Palace,1799,1.0,4.4,50,Yes,None,Architectural,Yes,1.3,Morning,Oct–Mar,,override:name,Jaipur International Airport (JAI)
80,Northern,Rajasthan,Udaipur,City Palace,Palace,1559,2.0,4.4,300,Yes,None,Historical,Yes,0.51,All,Oct–Mar,,override:name,Maharana Pratap Airport (UDR)
81,Northern,Rajasthan,Jaisalmer,Jaisalmer Fort,Fort,1156,2.5,4.4,50,No,None,Historical,Yes,0.56,All,Oct–Mar,,override:name,Jaisalmer Airport (JSA)
82,Northern,Rajasthan,Sawai Madhopur,Ranthambore National Park,Wildlife Sanctuary,1980,3.0,4.6,500,No,None,Wildlife,Yes,0.09,All,Nov–Apr,,override:name,Jaipur International Airport (JAI)
83,Northern,Rajasthan,Pushkar,Pushkar Lake,Temple,1400,1.5,4.4,0,No,None,Religious,Yes,1.6,All,Oct–Mar,,city,Jaipur International Airport (JAI)
84,Northern,Rajasthan,Ajmer,Ajmer Sharif Dargah,Shrine,1236,1.0,4.6,0,Yes,None,Religious,No,0.35,All,Oct–Mar,,city,Kishangarh Airport (KQH)
85,Northern,Rajasthan,Jodhpur,Mehrangarh Fort,Fort,1459,2.0,4.6,100,Yes,None,Historical,Yes,0.64,All,Oct–Mar,,override:name,Jodhpur Airport (JDH)
86,Northern,Rajasthan,Chittorgarh,Chittorgarh Fort,Fort,700,2.0,4.6,40,No,None,Historical,Yes,1.9,All,Oct–Mar,,state,Jaipur International Airport (JAI)
87,Northern,Rajasthan,Mount Abu,Dilwara Temples,Temple,1100,1.0,4.6,0,No,None,Religious,No,0.05,All,Oct–Mar,,state,Maharana Pratap Airport (UDR)
88,Northern,Rajasthan,Bikaner,Junagarh Fort,Fort,1589,2.0,4.5,50,Yes,None,Historical,Yes,0.32,All,Oct–Mar,,state,"Nal Airport, Bikaner (BKB)"
89,Northern,Rajasthan,Jaipur,Amber Fort,Fort,1592,2.0,4.6,100,Yes,None,Historical,Yes,1.5,All,Oct–Mar,,override:name,Jaipur International Airport (JAI)
90,Northern,Rajasthan,Jaipur,Jaigarh Fort,Fort,1726,1.5,4.5,35,Yes,None,Historical,Yes,0.3,All,Oct–Mar,,city,Jaipur International Airport (JAI)
91,Northern,Rajasthan,Udaipur,Lake Pichola,Lake,1362,1.0,4.6,0,Yes,None,Nature,Yes,0.5,All,Oct–Mar,,city,Maharana Pratap Airport (UDR)
92,Northern,Punjab,Amritsar,Golden Temple (Harmandir Sahib),Religious Site,1604,1.5,4.9,0,Yes,None,Spiritual,Yes,1.9,All,Oct–Mar,,override:name,Sri Guru Ram Dass Jee International Airport (ATQ)
93,Northern,Punjab,Amritsar,Jallianwala Bagh,Memorial,1951,1.0,4.8,0,Yes,None,Historical,Yes,0.3,Afternoon,Oct–Mar,,city,Sri Guru Ram Dass Jee International Airport (ATQ)
94,Northern,Punjab,Amritsar,Wagah Border,Border Crossing,1950,2.0,4.8,0,Yes,None,Cultural,Yes,0.17,Evening,Oct–Mar,,city,Sri Guru Ram Dass Jee International Airport (ATQ)
95,Northern,Punjab,Chandigarh,Rock Garden,Sculpture Garden,1976,2.0,4.5,30,Yes,None,Artistic,Yes,0.5,All,Oct–Mar,,city,Shaheed Bhagat Singh International Airport (IXC)
96,Southern,Kerala,Alappuzha,Alappuzha Beach,Beach,Unknown,1.5,4.5,0,Yes,None,Recreational,Yes,0.11,All,Nov–Feb,,override:name,Cochin International Airport (COK)
97,Southern,Kerala,Munnar,Munnar Tea Gardens,Scenic Area,Unknown,2.0,4.3,0,No,None,Nature,Yes,0.3,All,Oct–Mar,,city,Cochin International Airport (COK)
98,Southern,Kerala,Kochi,Fort Kochi,Site,1503,1.0,4.4,0,Yes,None,Historical,Yes,0.1,All,Nov–Feb,,city,Cochin International Airport (COK)
99,Southern,Kerala,Thiruvananthapuram,Padmanabhaswamy Temple,Temple,Unknown,1.0,4.7,0,Yes,None,Religious,No,0.46,All,Nov–Feb,,city,Trivandrum International Airport (TRV)
100,Southern,Kerala,Kozhikode,Kozhikode Beach,Beach,Unknown,1.5,3.9,0,Yes,None,Recreational,Yes,0.059,All,Nov–Feb,,state,Cochin International Airport (COK)
101,Southern,Kerala,Wayanad,Wayanad Wildlife Sanctuary,Wildlife Sanctuary,Unknown,3.0,4.5,300,No,None,Wildlife,Yes,2.2,All,Nov–Feb,,state,Cochin International Airport (COK)
102,Southern,Kerala,Thekkady,Periyar National Park,National Park,1982,3.0,4.3,50,No,None,Wildlife,Yes,0.14,All,Nov–Feb,,city,Madurai International Airport (IXM)
103,Southern,Kerala,Kumarakom,Kumarakom Bird Sanctuary,Bird Sanctuary,1972,2.0,3.8,50,Yes,None,Wildlife,Yes,0.1,All,Nov–Feb,,override:name,Cochin International Airport (COK)
104,Southern,Kerala,Varkala,Varkala Beach,Beach,Unknown,2.0,4.6,0,Yes,None,Recreational,Yes,0.1,All,Nov–Feb,,override:name,Cochin International Airport (COK)
105,Southern,Kerala,Bekal,Bekal Fort,Fort,1650,1.5,4.5,20,No,None,Historical,Yes,0.22,All,Nov–Feb,,state,Cochin International Airport (COK)
106,Southern,Kerala,Kovalam,Kovalam Beach,Beach,Unknown,2.0,4.4,0,Yes,None,Recreational,Yes,0.68,All,Nov–Feb,,override:name,Cochin International Airport (COK)
107,Southern,Kerala,Kannur,St. Angelo Fort,Fort,1505,1.0,4.4,20,Yes,None,Historical,Yes,0.11,All,Nov–Feb,,state,Cochin International Airport (COK)
108,Southern,Kerala,Nelliyampathy,Seethargundu Viewpoint,Viewpoint,Unknown,1.0,4.5,0,No,None,Nature,Yes,0.03,Morning,Nov–Feb,,state,Cochin International Airport (COK)
109,Southern,Kerala,Kochi,Kerala Folklore Museum,Cultural,2009,1.5,4.4,100,Yes,Monday,Cultural,Yes,0.1,All,Nov–Feb,,city,Cochin International Airport (COK)
110,Southern,Kerala,Kochi,Wonderla Amusement Park,Amusement Park,2016,5.5,4.6,750,Yes,None,Entertainment,Yes,0.41,All,Nov–Feb,,city,Cochin International Airport (COK)
111,Southern,Karnataka,Mysore,Mysore Palace,Palace,1912,2.0,4.6,50,Yes,None,Historical,Yes,2.5,All,Oct–Mar,,override:name,Mysore Airport (MYQ)
112,Southern,Karnataka,Hampi,Hampi Archaeological Ruins,Site,Unknown,3.0,4.7,0,No,None,Historical,Yes,0.05,All,Oct–Mar,,override:name,"Jindal Vijaynagar Airport, Toranagallu (VDY)"
113,Southern,Karnataka,Coorg,Abbey Falls,Waterfall,Unknown,1.0,4.1,0,No,None,Nature,Yes,0.03,Morning,Oct–Mar,,city,Kannur International Airport (CNN)
114,Southern,Karnataka,Gokarna,Om Beach,Beach,Unknown,2.0,4.5,0,No,None,Nature,Yes,0.09,All,Nov–Feb,,state,Kempegowda International Airport (BLR)
115,Southern,Karnataka,Chikmagalur,Mullayanagiri,Mountain Peak,Unknown,3.0,4.5,0,No,None,Nature,Yes,0.05,All,Nov–Feb,,state,Kempegowda International Airport (BLR)
116,Southern,Karnataka,Badami,Badami Cave Temples,Cave,600,1.5,4.6,30,No,None,Religious,No,0.2,All,Nov–Feb,,state,Kempegowda International Airport (BLR)
117,Southern,Karnataka,Shivamogga,Jog Falls,Waterfall,1900,1.5,4.6,30,No,None,Nature,Yes,0.23,Morning,Nov–Feb,,state,Kempegowda International Airport (BLR)
118,Southern,Karnataka,Mangalore,Panambur Beach,Beach,Unknown,1.5,4.5,0,Yes,None,Recreational,Yes,0.1,All,Nov–Feb,,state,Mangaluru International Airport (IXE)
119,Southern,Karnataka,Murudeshwar,Murudeshwar Temple,Temple,Unknown,1.0,4.7,0,Yes,None,Religious,No,0.49,All,Nov–Feb,,state,Kempegowda International Airport (BLR)
120,Southern,Karnataka,Bijapur,Gol Gumbaz,Mausoleum,1656,1.5,4.5,20,No,None,Historical,Yes,0.25,All,Nov–Feb,,state,Kempegowda International Airport (BLR)
121,Southern,Karnataka,Bandipur,Bandipur National Park,National Park,1974,3.0,4.4,300,No,None,Wildlife,Yes,0.15,Morning,Nov–Feb,,state,Kempegowda International Airport (BLR)
122,Southern,Karnataka,Halebidu,Halebidu Hoysaleswara Temple,Temple,1121,1.0,4.7,15,No,None,Religious,No,0.11,All,Nov–Feb,,state,Kempegowda International Airport (BLR)
123,Western,Maharashtra,Pune,Shaniwar Wada,Fort,1732,2.0,4.4,50,Yes,None,Historical,Yes,1.2,All,Nov–Feb,,city,Pune International Airport (PNQ)
124,Western,Maharashtra,Aurangabad,Ajanta Caves,Cave,200,3.0,4.6,30,Yes,Monday,Historical,Yes,0.21,Afternoon,Oct–Mar,,override:name,Chhatrapati Sambhaji Nagar Airport (IXU)
125,Western,Maharashtra,Nashik,Sula Vineyards,Vineyard,1999,2.0,4.1,300,Yes,None,Recreational,Yes,0.1,Afternoon,Oct–Mar,,city,Nashik Airport (ISK)
126,Western,Maharashtra,Shirdi,Sai Baba Temple,Temple,1922,1.5,4.7,0,Yes,None,Religious,No,0.69,All,Oct–Mar,,fallback,Shirdi Airport (SAG)
127,Western,Maharashtra,Alibaug,Alibaug Beach,Beach,Unknown,1.5,4.2,0,Yes,None,Recreational,Yes,0.05,Evening,Nov–Feb,,city,Chhatrapati Shivaji Maharaj International Airport (BOM)
128,Western,Maharashtra,Ratnagiri,Ganapatipule Temple,Temple,1600,1.0,4.7,0,No,None,Religious,No,0.1,All,Oct–Mar,,fallback,Ratnagiri Airport (RTC)
129,Western,Maharashtra,Nagpur,Deekshabhoomi,Monument,2001,1.0,4.5,0,Yes,None,Religious,Yes,0.11,Afternoon,Oct–Mar,,fallback,Dr. Babasaheb Ambedkar International Airport (NAG)
130,Western,Maharashtra,Kolhapur,Mahalakshmi Temple,Temple,700,1.0,4.8,0,Yes,None,Religious,No,0.9,All,Oct–Mar,,fallback,Chhatrapati Rajaram Maharaj Airport (KLH)
131,Western,Maharashtra,Lonavala,Karla Caves,Cave,200,1.5,4.4,25,Yes,Yes,Historical,Yes,0.27,Afternoon,Nov–Feb,,city,Pune International Airport (PNQ)
132,Western,Maharashtra,Tarkarli,Tarkarli Beach,Beach,Unknown,2.0,4.6,0,No,None,Recreational,Yes,0.065,Evening,Nov–Feb,,state,Chhatrapati Shivaji Maharaj International Airport (BOM)
133,Western,Maharashtra,Satara,Kaas Plateau,Valley,Unknown,2.0,4.4,300,No,None,Nature,Yes,0.05,Afternoon,Nov–Feb,,state,Chhatrapati Shivaji Maharaj International Airport (BOM)
134,Western,Maharashtra,Matheran,Echo Point,Viewpoint,1828,1.5,4.4,0,Yes,None,Nature,Yes,0.02,Morning,Nov–Feb,,state,Chhatrapati Shivaji Maharaj International Airport (BOM)
135,Western,Maharashtra,Ajanta,Ellora Caves,Cave,600,3.0,4.7,30,Yes,Tuesday,Historical,Yes,0.49,Afternoon,Oct–Mar,,override:name,Chhatrapati Shivaji Maharaj International Airport (BOM)
136,Central,Madhya Pradesh,Khajuraho,Khajuraho Group of Monuments,Temples,-850,2.0,4.7,40,No,None,Cultural,Yes,0.09,Afternoon,Oct–Mar,,state,Devi Ahilya Bai Holkar Airport (IDR)
137,Central,Madhya Pradesh,Bhopal,Sanchi Stupa,Monument,-300,1.5,4.7,30,Yes,None,Historical,Yes,0.01,Afternoon,Oct–Mar,,override:name,Raja Bhoj Airport (BHO)
138,Central,Madhya Pradesh,Indore,Rajwada Palace,Palace,1747,1.0,4.4,10,Yes,None,Historical,Yes,0.63,Afternoon,Oct–Mar,,state,Devi Ahilya Bai Holkar Airport (IDR)
139,Central,Madhya Pradesh,Gwalior,Gwalior Fort,Fort,900,2.5,4.5,75,Yes,None,Historical,Yes,0.4,Morning,Oct–Mar,,state,Devi Ahilya Bai Holkar Airport (IDR)
140,Central,Madhya Pradesh,Ujjain,Mahakaleshwar Jyotirlinga,Temple,-3500,1.5,4.8,0,Yes,None,Religious,No,1.2,All,Oct–Mar,,state,Devi Ahilya Bai Holkar Airport (IDR)
141,Central,Madhya Pradesh,Jabalpur,Dhuandhar Falls,Waterfall,Unknown,1.0,4.5,0,No,None,Nature,Yes,0.01,Morning,Oct–Mar,,state,Devi Ahilya Bai Holkar Airport (IDR)
